City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,al mijlad,11.0333,27.7333,301.91,58,89,2.23,SD,1686871600
192,igarka,67.4667,86.5833,279.83,68,41,2.9,RU,1686871600
193,vorkuta,67.5,64.0,273.89,96,91,7.19,RU,1686871600
194,lorengau,-2.0226,147.2712,299.98,83,100,2.72,PG,1686871404
195,nguru,12.8791,10.4526,304.56,44,99,1.05,NG,1686871600
196,illizi,26.4833,8.4667,304.04,19,0,3.72,DZ,1686871600
197,lionel town,17.8101,-77.2406,304.09,77,70,5.8,JM,1686871323
198,san rafael,-34.6177,-68.3301,284.07,29,19,2.52,AR,1686871600
199,punta arenas,-53.15,-70.9167,278.21,70,20,11.83,CL,1686871238
200,fauske,67.2588,15.3918,282.56,91,20,0.63,NO,1686871601
201,khanty-mansiysk,61.0042,69.0019,281.21,66,0,5.0,RU,1686871432
202,bamboo flat,11.7,92.7167,299.2,94,75,1.03,IN,1686871601
203,mount gambier,-37.8333,140.7667,283.74,66,0,6.14,AU,1686871337
204,vila velha,-20.3297,-40.2925,296.45,88,0,2.06,BR,1686871601
205,turochak,52.2576,87.1224,281.27,94,0,0.94,RU,1686871601
206,murun-kuren,49.6342,100.1625,283.38,81,100,2.28,MN,1686871601
207,kununurra,-15.7667,128.7333,291.14,88,93,0.0,AU,1686871397
208,katsuura,35.1333,140.3,296.16,83,23,6.06,JP,1686871342
209,yokadouma,3.5167,15.05,293.96,99,82,0.65,CM,1686871601
210,sakakah,29.9697,40.2064,298.91,29,0,5.94,SA,1686871464
211,kodiak,57.79,-152.4072,281.88,87,100,5.14,US,1686871309
212,arraial do cabo,-22.9661,-42.0278,296.13,87,100,10.44,BR,1686871308
213,ancud,-41.8697,-73.8203,279.19,76,6,3.08,CL,1686871326
214,bandarbeyla,9.4942,50.8122,298.06,84,93,12.27,SO,1686871318
215,constantia,44.1833,28.65,289.65,79,99,2.45,RO,1686871351
216,richards bay,-28.783,32.0377,291.37,89,0,3.89,ZA,1686871406
217,saint-joseph,-21.3667,55.6167,296.36,80,68,3.91,RE,1686871602
218,kulhudhuffushi,6.6221,73.07,301.91,76,54,7.34,MV,1686871414
219,portland,45.5234,-122.6762,299.26,46,40,4.63,US,1686870973
220,kuressaare,58.2481,22.5039,289.79,69,95,4.12,EE,1686871602
221,afaahiti,-17.75,-149.2833,302.08,82,89,8.9,PF,1686871339
222,dolores,-36.3132,-57.6792,280.18,71,6,1.71,AR,1686871602
223,moose jaw,50.4001,-105.5344,291.29,45,30,11.83,CA,1686871343
224,lebu,-37.6167,-73.65,283.93,85,45,7.85,CL,1686871346
225,east london,-33.0153,27.9116,287.69,76,26,9.48,ZA,1686871141
226,greymouth,-42.4667,171.2,282.92,58,90,2.6,NZ,1686871603
227,vadso,70.0744,29.7487,278.64,81,40,4.12,NO,1686871333
228,cooper's town,26.8667,-77.5167,301.58,80,58,4.56,BS,1686871603
229,erenhot,43.6475,111.9767,299.87,19,7,5.03,CN,1686871318
230,boguchany,58.3814,97.4531,286.61,61,57,5.14,RU,1686871603
231,aripuana,-9.1667,-60.6333,295.32,71,11,0.81,BR,1686871352
232,bay city,43.5945,-83.8889,291.54,85,100,6.69,US,1686871315
233,manggar,-2.8833,108.2667,299.18,86,96,4.37,ID,1686871603
234,ojinaga,29.5667,-104.4167,314.02,13,0,0.0,MX,1686871603
235,masina,-4.3836,15.3914,297.31,79,66,0.85,CD,1686871603
236,mankono,8.0586,-6.1897,295.56,95,97,2.75,CI,1686871604
237,metahara,8.9,39.9167,298.75,47,100,1.63,ET,1686871604
238,hafar al-batin,28.4328,45.9708,307.47,16,0,6.17,SA,1686871604
239,fortuna,40.5982,-124.1573,293.34,65,20,8.23,US,1686871319
240,phan thiet,10.9333,108.1,299.49,85,79,3.64,VN,1686871604
241,motygino,58.1831,94.7592,284.76,83,93,3.33,RU,1686871389
242,leposaviq,43.1039,20.8028,288.75,99,100,2.05,XK,1686871604
243,crane,31.3974,-102.3501,311.65,7,26,9.07,US,1686871308
244,ain sefra,32.75,-0.5833,299.91,24,33,2.71,DZ,1686871604
245,mongo,12.1844,18.693,301.55,58,74,2.43,TD,1686871604
246,letlhakeng,-24.0944,25.0298,282.85,37,0,3.76,BW,1686871605
247,aasiaat,68.7098,-52.8699,273.84,82,100,4.48,GL,1686871306
248,xining,36.6167,101.7667,287.33,62,100,1.03,CN,1686871605
249,nemuro,43.3236,145.575,287.26,94,98,3.08,JP,1686871145
250,ganjam,19.3833,85.0667,303.64,68,71,3.36,IN,1686871605
251,vernon,50.2581,-119.2691,299.32,32,64,1.03,CA,1686871317
252,hawaiian paradise park,19.5933,-154.9731,300.88,83,20,5.14,US,1686871303
253,puerto ayacucho,5.6639,-67.6236,297.97,91,97,1.62,VE,1686871605
254,lihue,21.9789,-159.3672,300.73,82,75,8.75,US,1686871269
255,broome,42.2506,-75.833,296.36,58,0,3.09,US,1686871605
256,sinabang,2.4803,96.3801,299.69,77,93,1.3,ID,1686871327
257,nizhneudinsk,54.9076,99.0276,283.05,62,0,1.82,RU,1686871428
258,bubaque,11.2833,-15.8333,299.96,83,98,3.83,GW,1686871335
259,kone,-21.0595,164.8658,297.24,59,54,2.97,NC,1686871331
260,la passe,45.5549,-0.8967,291.47,88,74,2.74,FR,1686871314
261,susuman,62.7833,148.1667,290.88,53,56,1.64,RU,1686871331
262,sur,22.5667,59.5289,304.28,65,100,4.02,OM,1686871392
263,anadyr,64.75,177.4833,277.43,75,75,3.0,RU,1686871304
264,walvis bay,-22.9575,14.5053,283.68,62,0,1.54,NA,1686871306
265,haverfordwest,51.8017,-4.9691,292.34,86,13,0.55,GB,1686871606
266,qandala,11.472,49.8728,305.23,58,100,1.83,SO,1686871606
267,north elba,44.2434,-73.9543,292.03,91,62,2.38,US,1686871606
268,north battleford,52.7834,-108.2847,287.2,77,100,7.72,CA,1686871606
269,pitimbu,-7.4706,-34.8086,298.48,87,3,5.04,BR,1686871607
270,nikolayevsk-on-amure,53.1406,140.73,283.32,95,100,3.39,RU,1686871428
271,new norfolk,-42.7826,147.0587,283.87,72,22,1.25,AU,1686871352
272,caleta de carquin,-11.0925,-77.6267,294.32,78,27,4.02,PE,1686871345
273,gobabis,-22.45,18.9667,283.06,19,0,2.98,NA,1686871607
274,revda,56.801,59.9303,281.09,79,0,1.4,RU,1686871607
275,trairi,-3.2778,-39.2689,299.12,77,35,4.15,BR,1686871607
276,colonia,50.9333,6.95,292.02,64,0,3.09,DE,1686871332
277,rouyn-noranda,48.2398,-79.0288,288.2,77,75,3.6,CA,1686871562
278,tataouine,32.9297,10.4518,296.58,54,25,3.36,TN,1686871607
279,yagunovskiy,55.2828,85.978,287.84,62,0,4.0,RU,1686871607
280,kyzyl-suu,42.3414,78.0056,285.53,60,18,3.14,KG,1686871608
281,queenstown,-31.8976,26.8753,280.31,73,28,4.96,ZA,1686871339
282,northam,51.0333,-4.2167,290.03,77,2,0.89,GB,1686871608
283,hola,51.5377,23.1902,285.83,100,75,0.89,PL,1686871608
284,khandyga,62.6667,135.6,291.51,55,9,1.44,RU,1686871325
285,nacala,-14.5428,40.6728,294.1,80,43,0.82,MZ,1686871608
286,rozhyshche,50.9154,25.2691,289.89,88,100,2.19,UA,1686871609
287,puerto armuelles,8.2833,-82.8667,301.02,74,70,2.24,PA,1686871423
288,rabo de peixe,37.8,-25.5833,291.88,100,40,2.57,PT,1686871609
289,cabedelo,-6.9811,-34.8339,298.52,87,3,5.22,BR,1686871609
290,qaqortoq,60.7167,-46.0333,276.33,72,14,2.04,GL,1686871309
291,princeville,45.7668,-61.2985,288.94,97,100,3.6,CA,1686871610
292,guiyang,26.5833,106.7167,293.42,100,100,1.0,CN,1686871610
293,hoemul-li,41.4339,129.67,293.8,72,4,0.85,KP,1686871610
294,bikenibeu village,1.3673,173.1241,305.13,74,20,4.12,KI,1686871317
295,port hueneme,34.1478,-119.1951,294.79,79,100,4.12,US,1686871338
296,kruisfontein,-34.0033,24.7314,285.31,85,45,4.03,ZA,1686871322
297,ebon,4.582,168.6964,301.87,80,91,6.7,MH,1686871611
298,nadym,65.5333,72.5167,279.23,86,100,6.63,RU,1686871212
299,quiberon,47.4841,-3.1196,292.08,74,87,4.96,FR,1686871585
300,zaraza,9.3503,-65.3245,300.66,68,72,2.52,VE,1686871423
301,sao joao da barra,-21.6403,-41.0511,296.2,86,99,6.38,BR,1686871315
302,ust-nera,64.5667,143.2,290.17,48,99,1.42,RU,1686871305
303,yalta,44.5,34.1667,292.44,80,0,3.01,UA,1686871611
304,bertoua,4.5833,13.6833,292.89,98,54,0.41,CM,1686871611
305,carandai,-20.9536,-43.8064,290.72,81,100,1.66,BR,1686871611
306,taroa,8.7058,171.2275,301.23,83,63,8.64,MH,1686871611
307,kayangel,8.0823,134.7173,301.52,73,67,3.32,PW,1686871315
308,songyuan,45.1171,124.8568,296.59,47,94,5.55,CN,1686871611
309,berber,18.0216,33.983,307.14,32,3,3.75,SD,1686871612
310,khilok,51.3674,110.4676,282.0,50,100,0.59,RU,1686871612
311,farafangana,-22.8167,47.8333,293.14,91,6,4.13,MG,1686871612
312,chegdomyn,51.1167,133.0167,290.09,63,11,0.51,RU,1686871612
313,gisborne,-38.6533,178.0042,284.79,69,60,1.05,NZ,1686871612
314,siasi,5.5462,120.8145,300.47,74,77,0.33,PH,1686871612
315,iskateley,67.6803,53.1512,275.2,87,86,10.53,RU,1686871314
316,tsarevo,42.1667,27.85,290.91,88,97,1.37,BG,1686871612
317,palu,-0.8917,119.8707,297.52,95,100,0.91,ID,1686871612
318,brassall,-27.5975,152.7475,289.21,69,0,0.0,AU,1686871613
319,lhasa,29.65,91.1,284.32,80,96,1.37,CN,1686871613
320,amga,60.8953,131.9608,289.05,64,96,3.4,RU,1686871317
321,greenwood,34.1668,-82.1165,298.6,72,75,3.6,US,1686871575
322,bomdila,27.25,92.4,286.8,98,99,0.54,IN,1686871613
323,istgah-e rah ahan-e garmsar,35.2346,52.3094,304.1,17,0,2.74,IR,1686871613
324,kampong thom,12.7111,104.8887,299.53,85,97,1.4,KH,1686871341
325,pullman,46.7313,-117.1796,295.84,44,100,0.89,US,1686871613
326,kalemie,-5.9475,29.1947,294.57,51,7,1.69,CD,1686871419
327,oistins,13.0667,-59.5333,301.2,83,40,4.12,BB,1686871613
328,margate,51.3813,1.3862,289.99,85,10,1.79,GB,1686871312
329,remire-montjoly,4.9167,-52.2667,299.17,89,0,1.54,GF,1686871321
330,umm kaddadah,13.6017,26.6876,305.4,40,20,1.93,SD,1686871614
331,tawau,4.2498,117.8871,297.22,91,99,1.8,MY,1686871614
332,abepura,-2.6333,140.5833,296.6,88,40,1.03,ID,1686871614
333,bayevo,53.2833,80.7667,287.19,60,100,2.68,RU,1686871614
334,anshun,26.25,105.9333,291.71,98,100,2.77,CN,1686871614
335,nar'yan-mar,67.6713,53.087,275.24,86,83,10.54,RU,1686871348
336,argenton-sur-creuse,46.59,1.5198,290.34,84,56,2.5,FR,1686871614
337,novyy urgal,51.0736,132.5642,289.13,66,13,0.53,RU,1686871614
338,dnestrovsc,46.6222,29.9133,293.79,65,92,1.9,MD,1686871615
339,ibague,4.4389,-75.2322,297.1,65,75,1.03,CO,1686871615
340,palangkaraya,-2.2,113.8333,296.43,98,100,0.23,ID,1686871615
